Reviewer_Location,American,Review_Text,Prompt,Simplified
United Kingdom,0,Okay experience overall! However wasn't for the ages 12  as most of the rides and attractions was targeted for younger children. However if you are 12  and like that sort of thing then go for it! Very expensive to purchase anything there so make sure to buy and pack food in advance to save money. ,"Simplify ""Okay experience overall! However wasn't for the ages 12  as most of the rides and attractions was targeted for younger children. However if you are 12  and like that sort of thing then go for it! Very expensive to purchase anything there so make sure to buy and pack food in advance to save money. ""","The overall experience was okay, but most of the rides and attractions were geared towards younger children. If you're 12 and enjoy that type of thing, then it's worth visiting. However, it's very expensive to buy food or other items there, so it's best to bring your own food to save money."
United Kingdom,0,"With 24 hours to pass before our flight back to the Uk we decided to go to Disney. We went by public transport the MTR was easy to use and the resort we'll sign posted. We loved the train with Micky Windows!There are fewer rides than in other Disney resorts but that didn't matter for a day trip. Usual faithfully of run away train, space mountain and Its a small world. A good couple of hours. ","Simplify ""With 24 hours to pass before our flight back to the Uk we decided to go to Disney. We went by public transport the MTR was easy to use and the resort we'll sign posted. We loved the train with Micky Windows!There are fewer rides than in other Disney resorts but that didn't matter for a day trip. Usual faithfully of run away train, space mountain and Its a small world. A good couple of hours. ""","We went to Disney for a day trip before our flight back to the UK, using the MTR public transportation. The resort was easy to find and we enjoyed the train with Mickey Mouse-themed windows. Although there were fewer rides than other Disney resorts, we still had a good time on the Runaway Train, Space Mountain, and ""It's a Small World"" rides."
United Kingdom,0,"Have taken my grand daughter here twice, she absolutely loved it. Size of park is much smaller than others but as this was the first park my grand daughter visited she was over the moon. Staff are lovely and constantly giving the little ones character stickers. We visited in February and queues were not that bad. The lion king show was brilliant, in fact we watched it twice. My grand daughter has since visited Euro Disney but still talks about Hong Kong. Worth going especially if you have little ones with you.even the train that takes you to the park is magical.","Simplify ""Have taken my grand daughter here twice, she absolutely loved it. Size of park is much smaller than others but as this was the first park my grand daughter visited she was over the moon. Staff are lovely and constantly giving the little ones character stickers. We visited in February and queues were not that bad. The lion king show was brilliant, in fact we watched it twice. My grand daughter has since visited Euro Disney but still talks about Hong Kong. Worth going especially if you have little ones with you.even the train that takes you to the park is magical.""","I visited Hong Kong Disneyland with my granddaughter twice and she loved it. The park is small, but it was my granddaughter's first park and she was thrilled. The staff was friendly and gave out character stickers to children. We went in February and the lines were not too long. The Lion King show was excellent, we watched it twice. My granddaughter has since been to Euro Disney, but she still talks about Hong Kong Disneyland. It's worth visiting, especially if you have children with you, even the train ride to the park is magical."
United Kingdom,0,We visited for the day and had an excellent time. Staff good but not like the happy cheerful American staff. Not too busy   never waited more than 20 minutes for a ride. Parades good. Food on site adequate.  Lots of good rides.,"Simplify ""We visited for the day and had an excellent time. Staff good but not like the happy cheerful American staff. Not too busy   never waited more than 20 minutes for a ride. Parades good. Food on site adequate.  Lots of good rides.""",We had a great day visit. Staff was good but not as friendly as American staff. Rides were not crowded and we never waited more than 20 minutes. The parades were good. Food at the park was sufficient. There were many good rides to enjoy.
United Kingdom,0,Great service and just what I had expected. Not too far from central HK and a great day out for the kids and adults alike.,"Simplify ""Great service and just what I had expected. Not too far from central HK and a great day out for the kids and adults alike.""","Good service, as expected. Convenient location near central Hong Kong, suitable for both kids and adults."
United Kingdom,0,"Really small and also expensive, particularly food.   The theatre is 3rd rate.   Little kids will probably enjoy it but adults will know it is not value for money.","Simplify ""Really small and also expensive, particularly food.   The theatre is 3rd rate.   Little kids will probably enjoy it but adults will know it is not value for money.""",The theater is not good value for money and the food is expensive and small. It may be suitable for children but not for adults.
United Kingdom,0,"If your kids are below 10 then they will love it here, lots of rides and the usual Disney layout with lots of overpriced shopping everywhere, generally a good day as long as it's sunny and the fireworks last thing is worth waiting for but...More","Simplify ""If your kids are below 10 then they will love it here, lots of rides and the usual Disney layout with lots of overpriced shopping everywhere, generally a good day as long as it's sunny and the fireworks last thing is worth waiting for but...More""","If your kids are under 10, they will enjoy visiting here. There are many rides and the typical Disney design, as well as expensive shopping options. It's a good day out, as long as it's sunny, and the fireworks display at the end is worth seeing."
United Kingdom,0,"Being Disney we were so looking forward to a trip to this amazing park, but once inside it was disappointment. The park was small and full of tourists from mainland China who were rude and like pushing in. I am not racist because I am Chinese myself but on several occasion I was fuming because some guys were trying to push in front of me...Apart from that the park was too small to accommodate the huge amount of tourists, the queuing time was around 45 mins to 1hour which even my 6 yrs old daughter was fed up about. The foods were way over priced and there were no benches for people to sit down and enjoy a drink or snacks. Overall being a grown up I was very disappointed but the kids (3 and 6 yrs old) still love seeing all the Disney characters and the parade, but they must do something about the queuing time so not to disappoint the children.","Simplify ""Being Disney we were so looking forward to a trip to this amazing park, but once inside it was disappointment. The park was small and full of tourists from mainland China who were rude and like pushing in. I am not racist because I am Chinese myself but on several occasion I was fuming because some guys were trying to push in front of me...Apart from that the park was too small to accommodate the huge amount of tourists, the queuing time was around 45 mins to 1hour which even my 6 yrs old daughter was fed up about. The foods were way over priced and there were no benches for people to sit down and enjoy a drink or snacks. Overall being a grown up I was very disappointed but the kids (3 and 6 yrs old) still love seeing all the Disney characters and the parade, but they must do something about the queuing time so not to disappoint the children.""","The writer was excited to visit a Disney park but was disappointed by the size of the park, the behavior of some tourists, and the long wait times. They also found the food to be overpriced and there were no seating areas. Despite this, their children enjoyed seeing Disney characters and the parade. They suggest that the park should improve the wait times so that children are not disappointed."
United Kingdom,0,"Ok so was not sure how we would feel about Hong Kong Disneyland. We have been to Walt Disneyworld, Disneyland (California) and Euro Disney. However that was with children. Yes this is a lot smaller however we really enjoyed our day as we did not have massive expectations. We went on a Sunday and crowds were light. We managed to go on every ride we wanted to without big queues (longest was 20 minutes) only downside was that we could not find any dole whips. (We were told that there was some sort of sponsorship problem. ","Simplify ""Ok so was not sure how we would feel about Hong Kong Disneyland. We have been to Walt Disneyworld, Disneyland (California) and Euro Disney. However that was with children. Yes this is a lot smaller however we really enjoyed our day as we did not have massive expectations. We went on a Sunday and crowds were light. We managed to go on every ride we wanted to without big queues (longest was 20 minutes) only downside was that we could not find any dole whips. (We were told that there was some sort of sponsorship problem. ""","""We enjoyed our day at Hong Kong Disneyland, even though it's smaller than the other Disney parks we've visited with our children. We went on a Sunday and the crowds were light, so we were able to go on every ride without long lines. The only downside was that we couldn't find any dole whips due to a sponsorship issue."""
United Kingdom,0,"We really enjoyed Hong Kong Disney, however a few of the food outlets were closed. There was next to nothing for vegetarians or vegans. With so many of the food places not being open it made the queues worse. I think if your paying full price everything should be open. It was difficult to meet the characters, unlike when I went Florida and they were about everywhere. ","Simplify ""We really enjoyed Hong Kong Disney, however a few of the food outlets were closed. There was next to nothing for vegetarians or vegans. With so many of the food places not being open it made the queues worse. I think if your paying full price everything should be open. It was difficult to meet the characters, unlike when I went Florida and they were about everywhere. ""","""We enjoyed Hong Kong Disney, but some food options were closed and there were limited options for vegetarians. This made the lines longer. I think all options should be open when paying full price. It was also harder to meet characters compared to my experience in Florida."""
United Kingdom,0,We visited here whilst on holiday in Honk Kong . Were were staying in Monk Kok easy to get here on MTR and only 2O Hk dollars. Last part of journey is on a Disney MTR. If you buy your tickets from Klook on line it will save you 8% on ticket price and will get you straight in. We went on a Monday and the park was very quite walk on to Mystic Manor which is superb big grizzly mountain which was superb walked on three times.Hyperspace mountain only had five minutes que as did Iron man experience and it's a small world and jungle cruise . The only think not so good very expensive food and snacks and not much choice at park . Also lots off characters walking around for photos .If In Hong Kong highly recommend . ,"Simplify ""We visited here whilst on holiday in Honk Kong . Were were staying in Monk Kok easy to get here on MTR and only 2O Hk dollars. Last part of journey is on a Disney MTR. If you buy your tickets from Klook on line it will save you 8% on ticket price and will get you straight in. We went on a Monday and the park was very quite walk on to Mystic Manor which is superb big grizzly mountain which was superb walked on three times.Hyperspace mountain only had five minutes que as did Iron man experience and it's a small world and jungle cruise . The only think not so good very expensive food and snacks and not much choice at park . Also lots off characters walking around for photos .If In Hong Kong highly recommend . ""","We visited Hong Kong Disneyland while on vacation in Hong Kong. It was easy to get to by MTR and only cost 20 HK dollars. If you buy your tickets online from Klook, you can save 8% on the ticket price. We went on a Monday and the park was not busy, we were able to walk on to popular rides like Mystic Manor and Big Grizzly Mountain. The food and snacks at the park were expensive and not much variety. However, there were lots of characters walking around for photos. Overall, if you are in Hong Kong, I highly recommend visiting Hong Kong Disneyland."
United Kingdom,0,"Having been to Hong Kong before for a week I felt I had done most of the major attractions already. So when I came for a second visit I decided to try Disneyland as I hadn't been before.Not first of all being a 30 year old male I know I'm not really in the Disney target market, but I had a great time at their parks in Orlando, so was hoping for a similar experience here.I would say there is only 1 real thrill ride, which is the Runaway Mine Train. Everything else is definitely targeted at children and kids. The parade was ok, but nothing like as spectacular as the one in Orlando. Likewise the fireworks display at the end of the day was fairly average.The Lion King stage show was really good (I even went back twice) and I liked the fact you were allowed to take photos. It really felt like I was watching a show in the West End or Broadway   apart from only lasting 20 minutes!If you are an adult I'd say it's only worth a visit if you feel you've done everything else on offer in Hong Kong, but don't expect major theme park rides and roller coasters.It's easy enough to get to by public transport from the main hub of Hong Kong, but the train is not included in the admission price.Some example prices (all in Hong Kong dollars):Chocolate milkshake   $52Sweet & sour chicken with rice (evening meal)   $168Cheese Burger (lunch)   $95Coke   $26Donald Duck cuddly toy   $175","Simplify ""Having been to Hong Kong before for a week I felt I had done most of the major attractions already. So when I came for a second visit I decided to try Disneyland as I hadn't been before.Not first of all being a 30 year old male I know I'm not really in the Disney target market, but I had a great time at their parks in Orlando, so was hoping for a similar experience here.I would say there is only 1 real thrill ride, which is the Runaway Mine Train. Everything else is definitely targeted at children and kids. The parade was ok, but nothing like as spectacular as the one in Orlando. Likewise the fireworks display at the end of the day was fairly average.The Lion King stage show was really good (I even went back twice) and I liked the fact you were allowed to take photos. It really felt like I was watching a show in the West End or Broadway   apart from only lasting 20 minutes!If you are an adult I'd say it's only worth a visit if you feel you've done everything else on offer in Hong Kong, but don't expect major theme park rides and roller coasters.It's easy enough to get to by public transport from the main hub of Hong Kong, but the train is not included in the admission price.Some example prices (all in Hong Kong dollars):Chocolate milkshake   $52Sweet & sour chicken with rice (evening meal)   $168Cheese Burger (lunch)   $95Coke   $26Donald Duck cuddly toy   $175""","When I visited Hong Kong for the second time, I decided to try Disneyland, as I hadn't been before. As an adult, I found that the park had limited thrill rides and was mostly targeted at children. The parade and fireworks display were not as impressive as the ones in Orlando. However, the Lion King stage show was good and I liked that you were allowed to take photos. I wouldn't recommend it as a must-see for adults unless you've done everything else in Hong Kong. It's easy to get to by public transport, but the train is not included in the admission price. Food and merchandise prices were expensive."
United Kingdom,0,"I went with an open mind as I have been to all the other Disney parks. It is very compact and easy to cover in a day. The two best rides for adults teens are Space Mountain and Grizzly gulch mine train. Notably missing are Pirates of the Carribean Splash mountain and Peter Pan rides. The park is more geared up for small children. The food is mainly geared towards the Chinese. For Westerners, there are burgers, pizza and spaghetti Virtually nothing for vegetarians.( I had spaghetti and mushroom sauce). Everything is overpriced, even the merchandise. On the plus side the parades are lovely and worth staying for the night parade and fireworks. The park is cheaper than its American counterparts, about   45  USD 70. compared to   75 USD 100. Worth visiting, but if you like hairier rides head for Ocean Park which is cheaper.","Simplify ""I went with an open mind as I have been to all the other Disney parks. It is very compact and easy to cover in a day. The two best rides for adults teens are Space Mountain and Grizzly gulch mine train. Notably missing are Pirates of the Carribean Splash mountain and Peter Pan rides. The park is more geared up for small children. The food is mainly geared towards the Chinese. For Westerners, there are burgers, pizza and spaghetti Virtually nothing for vegetarians.( I had spaghetti and mushroom sauce). Everything is overpriced, even the merchandise. On the plus side the parades are lovely and worth staying for the night parade and fireworks. The park is cheaper than its American counterparts, about   45  USD 70. compared to   75 USD 100. Worth visiting, but if you like hairier rides head for Ocean Park which is cheaper.""","Disney Hong Kong is a compact park that can be covered in a day. Space Mountain and Grizzly Gulch Mine Train are the best rides for adults and teens. The park is more geared towards small children and is missing some popular rides like Pirates of the Caribbean and Peter Pan. The food is mainly Chinese and not much options for vegetarians. Everything is overpriced, but the parades and fireworks are worth staying for. The park is cheaper than other Disney parks in America, costing around $45 - $70. Overall, worth visiting but if you prefer more thrilling rides, visit Ocean Park which is cheaper."
United Kingdom,0,"I knew this place wasn't going to be up to much as we've already done Florida.I was pleasantly surprised by the transport to the park, the train was fun.Main Street is lovely, sleeping beauty castle is small & underwhelming.Everything looks a little tired & run down but I've read it's on the verge of huge investment.The staff are not like Disney staff and really look like they'd rather be somewhere else.The parade was great and a lot less busy than Florida so you get to sit right on the pavement at Main Street.Merchandise much cheaper than America.Fireworks were not worth waiting for.I've done it once, I wouldn't go back.","Simplify ""I knew this place wasn't going to be up to much as we've already done Florida.I was pleasantly surprised by the transport to the park, the train was fun.Main Street is lovely, sleeping beauty castle is small & underwhelming.Everything looks a little tired & run down but I've read it's on the verge of huge investment.The staff are not like Disney staff and really look like they'd rather be somewhere else.The parade was great and a lot less busy than Florida so you get to sit right on the pavement at Main Street.Merchandise much cheaper than America.Fireworks were not worth waiting for.I've done it once, I wouldn't go back.""","The writer had low expectations for the place, but was pleasantly surprised by the transport to the park. Main Street was nice but the castle was underwhelming and the overall appearance of the park was tired and in need of investment. The staff were not as friendly as those at Disney and the fireworks were not worth the wait. The writer had a good parade experience, but overall would not return."
United Kingdom,0,"Sometimes simple is better and Hong Kong Disneyland offers that on a smaller scale with less hassle. The staff were friendly, we finished all the rides and we just completely let go and had fun","Simplify ""Sometimes simple is better and Hong Kong Disneyland offers that on a smaller scale with less hassle. The staff were friendly, we finished all the rides and we just completely let go and had fun""","""Hong Kong Disneyland is simple and fun with friendly staff and no hassle."""
United Kingdom,0,"Adults and children, everyone loves Disneyland. Can be very busy at weekends and holidays, better if you can go mid week . Plenty to do , you will have a great time.","Simplify ""Adults and children, everyone loves Disneyland. Can be very busy at weekends and holidays, better if you can go mid week . Plenty to do , you will have a great time.""","Disneyland is loved by everyone, both adults and children. It can be very crowded on weekends and holidays, so it's best to visit during the week. There's a lot to do and you're sure to have a great time."
United Kingdom,0,"This park like all the others is very similar in layout. I think this is a smaller park than Paris or Florida, but possibly the same as California. Your usual favourites are there.","Simplify ""This park like all the others is very similar in layout. I think this is a smaller park than Paris or Florida, but possibly the same as California. Your usual favourites are there.""","""This park is similar to others and is smaller than Paris or Florida but possibly the same size as California. The usual attractions are present."""
United Kingdom,0,"Lovely theme park with different themes for all ages and audiences. Got there for opening but couldn't actually get to the rides until 10:30 which wasn't great at first, however the rest of the park was still amazing, and you can get to it from the MTR as it has its own stop too.","Simplify ""Lovely theme park with different themes for all ages and audiences. Got there for opening but couldn't actually get to the rides until 10:30 which wasn't great at first, however the rest of the park was still amazing, and you can get to it from the MTR as it has its own stop too.""","The theme park is great for all ages and has different themes. We arrived early but the rides didn't open until 10:30. Despite that, the rest of the park was still enjoyable and it's easy to get to via MTR with its own stop."
United Kingdom,0,"This is our third Disneyland, it's much smaller than Tokyo & California, but still fun. Probably better for smaller kids than teens. Teens will prefer Ocean Park if they love thrilling rides. Went went on Monday & it was really quiet, most rides max 5 minute wait to get on. Didn't even bother with the fast pass on the two rides that have then. Think weekends would be much busier.Train there was easy and cheap. Definitely worth a visit if you love Disney.","Simplify ""This is our third Disneyland, it's much smaller than Tokyo & California, but still fun. Probably better for smaller kids than teens. Teens will prefer Ocean Park if they love thrilling rides. Went went on Monday & it was really quiet, most rides max 5 minute wait to get on. Didn't even bother with the fast pass on the two rides that have then. Think weekends would be much busier.Train there was easy and cheap. Definitely worth a visit if you love Disney.""","This Disneyland is smaller than the ones in Tokyo and California but still fun for kids. Teens may prefer Ocean Park for thrilling rides. Visiting on a Monday was quiet with short wait times for rides. Weekends may be busier. Taking the train is an easy and inexpensive option. Overall, worth a visit for Disney fans."
United Kingdom,0,We spent 1 and a half days here and we all loved it. Our first experience of Disney as a family had all that we wanted as we did not want to spend days queuing! Our son (age 9) got to do his Star Wars on stage and our daughter (age 7) did her princess bits. There are only 4  big  rides and we queued less than an hour each time so gave us plenty of time to actually see our surroundings rather than queue all the time.For us it was a brilliant introduction to Disney and we all had an amazing time.,"Simplify ""We spent 1 and a half days here and we all loved it. Our first experience of Disney as a family had all that we wanted as we did not want to spend days queuing! Our son (age 9) got to do his Star Wars on stage and our daughter (age 7) did her princess bits. There are only 4  big  rides and we queued less than an hour each time so gave us plenty of time to actually see our surroundings rather than queue all the time.For us it was a brilliant introduction to Disney and we all had an amazing time.""",We loved spending 1 and a half days at Disney as a family. We didn't have to wait in long lines for rides and our kids got to do their favorite Star Wars and princess activities. We recommend it as a great introduction to Disney.
United Kingdom,0,"Having visited Disney in Florida X 3, California & Paris, we were not surprised to see Disney HK to look the same as the others, although it is only Magic Kingdom, but there were no crowds and only small queues. We got stopped at Buzz lightyear for getting fast passes because you can just walk straight on, stunned. Lovely park, perfectly clean & immacualte as always. Didn't know Mickie and crew could speak Mandarin, although the shows were translated into english, easy ride by mtr to sunny bay and then change to disney, a smooth journey as you come to expect with disney even at the end of the day after the traditional fireworks. Would have like to have seem a more traditional chinese approach to something within the park (Donald did have a chinese silk shirt on) stuggled to bring home a chinese disney momento, found a photo frame which was really for a chinese wedding, looked christmassy enough for me to bring out each year. Love you Disney, wish my kids were not growing up so fast. Staff excellent even helped me with a problem I had with my emailed ticket through expedia in the uk, could not do enough to ensure you received excellent service, I even emailed their Head office to say thank you.","Simplify ""Having visited Disney in Florida X 3, California & Paris, we were not surprised to see Disney HK to look the same as the others, although it is only Magic Kingdom, but there were no crowds and only small queues. We got stopped at Buzz lightyear for getting fast passes because you can just walk straight on, stunned. Lovely park, perfectly clean & immacualte as always. Didn't know Mickie and crew could speak Mandarin, although the shows were translated into english, easy ride by mtr to sunny bay and then change to disney, a smooth journey as you come to expect with disney even at the end of the day after the traditional fireworks. Would have like to have seem a more traditional chinese approach to something within the park (Donald did have a chinese silk shirt on) stuggled to bring home a chinese disney momento, found a photo frame which was really for a chinese wedding, looked christmassy enough for me to bring out each year. Love you Disney, wish my kids were not growing up so fast. Staff excellent even helped me with a problem I had with my emailed ticket through expedia in the uk, could not do enough to ensure you received excellent service, I even emailed their Head office to say thank you.""","We were not surprised to see Disney Hong Kong to look the same as the others, although it is only Magic Kingdom, but there were no crowds and only small queues. The park was lovely, clean, and immaculate as always. The shows were translated into English, and the journey to the park was smooth. We would have liked to have seen a more traditional Chinese approach within the park. The staff were excellent and helped with a problem we had with our emailed ticket. Overall we enjoyed our visit to Disney Hong Kong."
